MCS Area Volume r h theta_rad theta_deg
156 2355 9771 27.3792 8.06484 0.572919 32.8258
157 2379 9767 27.5183 7.98676 0.564946 32.369
158 2373 9750 27.4836 7.99217 0.565986 32.4286
159 2394 9748 27.605 7.9259 0.559195 32.0395
160 2385 9753 27.553 7.95738 0.562305 32.2177
161 2388 9737 27.5703 7.93578 0.560523 32.1156
162 2385 9737 27.553 7.945 0.561475 32.1702
163 2370 9738 27.4662 7.99216 0.566324 32.448
164 2385 9737 27.553 7.945 0.561475 32.1702
165 2385 9737 27.553 7.945 0.561475 32.1702
166 2376 9738 27.501 7.97354 0.564398 32.3376
167 2388 9740 27.5703 7.9381 0.560679 32.1245
168 2382 9729 27.5357 7.94803 0.562014 32.201
169 2373 9708 27.4836 7.95952 0.563794 32.303
170 2370 9704 27.4662 7.9657 0.564548 32.3462
171 2364 9726 27.4315 8.0015 0.567632 32.5229
172 2361 9704 27.414 7.99369 0.567449 32.5124
173 2370 9701 27.4662 7.96336 0.564391 32.3372
174 2370 9690 27.4662 7.9548 0.563815 32.3042
175 2391 9701 27.5877 7.89876 0.55771 31.9544
176 2406 9695 27.6741 7.84859 0.552703 31.6675
177 2400 9675 27.6395 7.85132 0.553542 31.7156
178 2391 9687 27.5877 7.88794 0.556984 31.9129
179 2400 9702 27.6395 7.87214 0.554935 31.7954
180 2409 9732 27.6913 7.86797 0.553671 31.723
181 2418 9730 27.743 7.83933 0.55078 31.5574
182 2415 9745 27.7258 7.85984 0.552475 31.6545
183 2403 9735 27.6568 7.88845 0.555697 31.8391
184 2412 9740 27.7085 7.86505 0.553149 31.6931
185 2409 9736 27.6913 7.87104 0.553877 31.7348
186 2427 9752 27.7946 7.82919 0.549133 31.463
187 2415 9725 27.7258 7.84451 0.551451 31.5958
188 2418 9739 27.743 7.84622 0.55124 31.5837
189 2415 9757 27.7258 7.86904 0.553089 31.6897
190 2415 9755 27.7258 7.86751 0.552987 31.6838
191 2436 9771 27.8461 7.81684 0.547346 31.3606
192 2445 9766 27.8974 7.78636 0.54436 31.1895
193 2460 9798 27.9829 7.76644 0.541457 31.0232
194 2448 9826 27.9146 7.82298 0.546476 31.3108
195 2442 9834 27.8803 7.84686 0.548702 31.4383
196 2448 9832 27.9146 7.82752 0.546778 31.3281
197 2457 9857 27.9658 7.8198 0.545313 31.2441
198 2457 9863 27.9658 7.82433 0.545613 31.2613
199 2463 9858 28 7.80288 0.543559 31.1436
200 2466 9868 28.017 7.8016 0.543159 31.1207
