MCS Area Volume r h theta_rad theta_deg
263 6339 38648 44.9196 11.9143 0.518534 29.7098
264 6360 38643 44.9939 11.8761 0.516127 29.5719
265 6342 38680 44.9302 11.9185 0.51859 29.713
266 6333 38651 44.8983 11.9258 0.519245 29.7505
267 6339 38676 44.9196 11.9226 0.518878 29.7295
268 6336 38686 44.9089 11.9308 0.519337 29.7558
269 6345 38690 44.9408 11.9162 0.518377 29.7008
270 6351 38673 44.9621 11.9006 0.517497 29.6504
271 6351 38680 44.9621 11.9027 0.517583 29.6553
272 6339 38645 44.9196 11.9134 0.518498 29.7077
273 6327 38632 44.877 11.9307 0.519686 29.7758
274 6321 38608 44.8557 11.9342 0.520067 29.7976
275 6348 38609 44.9514 11.8871 0.517049 29.6247
276 6360 38625 44.9939 11.8708 0.515907 29.5593
277 6348 38636 44.9514 11.895 0.51738 29.6437
278 6345 38648 44.9408 11.9038 0.517862 29.6713
279 6357 38653 44.9833 11.8843 0.516583 29.598
280 6366 38655 45.0151 11.8691 0.515606 29.542
281 6357 38658 44.9833 11.8857 0.516644 29.6015
282 6369 38667 45.0257 11.8674 0.515419 29.5313
283 6390 38651 45.0999 11.8263 0.5129 29.387
284 6405 38647 45.1528 11.7992 0.511202 29.2897
285 6411 38675 45.1739 11.797 0.510884 29.2715
286 6408 38674 45.1634 11.8019 0.5112 29.2896
287 6399 38670 45.1316 11.8163 0.51214 29.3435
288 6405 38640 45.1528 11.7971 0.511117 29.2849
289 6396 38661 45.1211 11.8188 0.512361 29.3561
290 6381 38656 45.0681 11.8433 0.513955 29.4474
291 6390 38638 45.0999 11.8225 0.512742 29.378
292 6402 38643 45.1422 11.8032 0.511483 29.3058
293 6387 38642 45.0893 11.8288 0.513122 29.3997
294 6411 38614 45.1739 11.7792 0.510145 29.2292
295 6423 38623 45.2162 11.7612 0.508944 29.1603
296 6453 38624 45.3217 11.7103 0.505702 28.9746
297 6444 38587 45.2901 11.7148 0.50623 29.0048
298 6438 38598 45.269 11.7283 0.507012 29.0496
299 6438 38571 45.269 11.7204 0.506686 29.031
300 6456 38546 45.3322 11.6825 0.504442 28.9024
301 6429 38527 45.2373 11.723 0.507131 29.0565
302 6432 38528 45.2479 11.7181 0.506818 29.0385
303 6438 38513 45.269 11.7035 0.505987 28.9909
304 6438 38517 45.269 11.7047 0.506035 28.9937
305 6432 38526 45.2479 11.7175 0.506794 29.0371
306 6444 38557 45.2901 11.7061 0.505868 28.9841
307 6435 38545 45.2584 11.718 0.506698 29.0316
308 6429 38549 45.2373 11.7294 0.507397 29.0717
309 6450 38587 45.3111 11.7046 0.505581 28.9677
310 6468 38606 45.3743 11.6796 0.503872 28.8697
311 6459 38605 45.3427 11.6946 0.504828 28.9245
312 6465 38616 45.3638 11.6876 0.504314 28.8951
313 6435 38584 45.2584 11.7293 0.507168 29.0586
314 6423 38597 45.2162 11.7536 0.50863 29.1423
315 6411 38604 45.1739 11.7763 0.510024 29.2222
316 6423 38596 45.2162 11.7533 0.508617 29.1416
317 6405 38567 45.1528 11.7758 0.510232 29.2342
318 6393 38566 45.1105 11.7962 0.511537 29.3089
319 6414 38577 45.1845 11.7632 0.509369 29.1847
320 6465 38573 45.3638 11.6751 0.503798 28.8655
321 6453 38576 45.3217 11.6963 0.505125 28.9416
322 6453 38594 45.3217 11.7016 0.505342 28.954
323 6456 38569 45.3322 11.6892 0.504718 28.9182
324 6462 38573 45.3533 11.6802 0.504121 28.884
325 6441 38591 45.2795 11.7211 0.506602 29.0262
326 6435 38573 45.2584 11.7261 0.507036 29.051
327 6450 38590 45.3111 11.7055 0.505617 28.9697
328 6414 38586 45.1845 11.7659 0.509478 29.191
329 6432 38603 45.2479 11.74 0.507723 29.0904
330 6435 38631 45.2584 11.743 0.507735 29.0911
331 6441 38618 45.2795 11.729 0.506928 29.0448
332 6459 38627 45.3427 11.7009 0.505092 28.9396
333 6447 38641 45.3006 11.7254 0.506555 29.0235
334 6444 38636 45.2901 11.7291 0.50682 29.0386
335 6444 38627 45.2901 11.7265 0.506711 29.0324
336 6447 38615 45.3006 11.7179 0.506242 29.0055
337 6459 38631 45.3427 11.7021 0.50514 28.9424
338 6447 38623 45.3006 11.7202 0.506339 29.0111
339 6456 38619 45.3322 11.7037 0.505319 28.9526
340 6444 38588 45.2901 11.7151 0.506242 29.0055
341 6444 38600 45.2901 11.7186 0.506386 29.0138
342 6459 38583 45.3427 11.6882 0.504563 28.9094
343 6435 38563 45.2584 11.7232 0.506915 29.0441
344 6441 38569 45.2795 11.7147 0.506337 29.011
345 6450 38546 45.3111 11.6927 0.505088 28.9394
346 6489 38562 45.4479 11.6314 0.5011 28.7109
347 6516 38568 45.5424 11.5879 0.498309 28.551
348 6501 38566 45.4899 11.6124 0.499873 28.6406
349 6510 38592 45.5214 11.6048 0.499229 28.6037
350 6495 38595 45.4689 11.6308 0.500856 28.6969
351 6504 38597 45.5004 11.6163 0.499924 28.6435
352 6525 38612 45.5738 11.5855 0.497883 28.5266
353 6516 38603 45.5424 11.598 0.498725 28.5748
354 6519 38595 45.5529 11.5906 0.498313 28.5513
355 6507 38603 45.5109 11.613 0.499677 28.6294
356 6507 38593 45.5109 11.6101 0.499558 28.6226
357 6528 38625 45.5843 11.5843 0.497721 28.5173
358 6546 38626 45.6471 11.5546 0.495844 28.4097
359 6564 38645 45.7098 11.5303 0.494189 28.315
360 6552 38634 45.668 11.547 0.495311 28.3792
361 6552 38636 45.668 11.5475 0.495334 28.3806
362 6546 38631 45.6471 11.5561 0.495903 28.4131
363 6567 38635 45.7202 11.5225 0.49376 28.2903
364 6582 38612 45.7724 11.4912 0.491934 28.1857
365 6573 38601 45.7411 11.5028 0.492736 28.2317
366 6573 38580 45.7411 11.4968 0.492489 28.2176
367 6570 38558 45.7307 11.4955 0.492541 28.2205
368 6579 38546 45.762 11.4772 0.491468 28.1591
369 6576 38548 45.7516 11.4827 0.491802 28.1782
370 6579 38543 45.762 11.4764 0.491433 28.157
371 6606 38557 45.8558 11.4362 0.488819 28.0073
372 6600 38568 45.835 11.4491 0.489563 28.0499
373 6609 38583 45.8662 11.4387 0.488816 28.0071
374 6609 38590 45.8662 11.4407 0.488898 28.0118
375 6609 38608 45.8662 11.4459 0.489108 28.0238
376 6615 38586 45.887 11.4298 0.488237 27.9739
377 6627 38620 45.9286 11.42 0.487409 27.9265
378 6627 38619 45.9286 11.4197 0.487397 27.9258
379 6621 38613 45.9078 11.4278 0.487939 27.9569
380 6615 38599 45.887 11.4335 0.488389 27.9826
381 6597 38611 45.8246 11.4663 0.490375 28.0964
382 6591 38590 45.8037 11.4701 0.490747 28.1177
383 6585 38604 45.7829 11.484 0.49153 28.1626
384 6594 38609 45.8141 11.4707 0.490661 28.1128
385 6612 38596 45.8766 11.4376 0.488661 27.9982
386 6594 38589 45.8141 11.4649 0.490426 28.0994
387 6609 38578 45.8662 11.4373 0.488757 28.0037
388 6630 38570 45.939 11.4009 0.486521 27.8756
389 6645 38579 45.991 11.3792 0.485104 27.7944
390 6651 38583 46.0117 11.3707 0.484544 27.7623
391 6666 38577 46.0636 11.3449 0.482963 27.6717
392 6681 38570 46.1154 11.3189 0.481378 27.5809
393 6672 38530 46.0843 11.322 0.481816 27.606
394 6669 38556 46.0739 11.3341 0.482418 27.6405
395 6669 38550 46.0739 11.3324 0.482349 27.6365
396 6654 38519 46.0221 11.3477 0.483498 27.7024
397 6654 38501 46.0221 11.3426 0.483289 27.6904
398 6657 38484 46.0325 11.333 0.48279 27.6618
399 6657 38478 46.0325 11.3313 0.48272 27.6578
400 6654 38504 46.0221 11.3435 0.483324 27.6924
401 6654 38486 46.0221 11.3384 0.483115 27.6804
402 6657 38491 46.0325 11.335 0.482871 27.6665
403 6651 38489 46.0117 11.344 0.483452 27.6998
404 6666 38463 46.0636 11.3126 0.481642 27.5961
405 6672 38469 46.0843 11.3047 0.48111 27.5656
406 6648 38496 46.0013 11.3509 0.483836 27.7218
407 6672 38493 46.0843 11.3115 0.481388 27.5815
408 6669 38483 46.0739 11.3135 0.481573 27.5921
409 6672 38486 46.0843 11.3095 0.481307 27.5769
410 6693 38487 46.1568 11.2763 0.479223 27.4575
411 6684 38460 46.1257 11.283 0.479808 27.4909
412 6729 38490 46.2807 11.2202 0.475698 27.2555
413 6726 38500 46.2704 11.2277 0.476107 27.2789
414 6708 38478 46.2085 11.25 0.477631 27.3663
415 6702 38478 46.1878 11.2595 0.478226 27.4003
416 6675 38471 46.0947 11.3005 0.480833 27.5497
417 6705 38475 46.1981 11.2539 0.477894 27.3813
418 6699 38488 46.1775 11.2671 0.478638 27.424
419 6741 38521 46.322 11.21 0.474875 27.2083
420 6723 38530 46.2601 11.2409 0.476747 27.3156
421 6714 38532 46.2291 11.2557 0.477658 27.3678
422 6738 38554 46.3117 11.224 0.475546 27.2468
423 6762 38558 46.3941 11.1875 0.473245 27.115
424 6771 38561 46.425 11.1743 0.472404 27.0668
425 6768 38573 46.4147 11.1823 0.472832 27.0913
426 6765 38564 46.4044 11.1845 0.473022 27.1021
427 6762 38542 46.3941 11.183 0.473063 27.1045
428 6756 38550 46.3735 11.1946 0.473739 27.1433
429 6747 38554 46.3426 11.2099 0.474664 27.1963
430 6729 38565 46.2807 11.2413 0.476557 27.3047
431 6735 38566 46.3014 11.2321 0.475978 27.2715
432 6747 38564 46.3426 11.2127 0.474778 27.2028
433 6735 38555 46.3014 11.229 0.475852 27.2643
434 6714 38548 46.2291 11.2602 0.477842 27.3783
435 6729 38580 46.2807 11.2455 0.476729 27.3145
436 6753 38567 46.3632 11.2041 0.474226 27.1711
437 6759 38580 46.3838 11.1983 0.473788 27.1461
438 6744 38560 46.3323 11.2162 0.475026 27.217
439 6762 38544 46.3941 11.1836 0.473086 27.1058
440 6765 38543 46.4044 11.1786 0.472783 27.0884
441 6747 38518 46.3426 11.1998 0.474253 27.1727
442 6750 38562 46.3529 11.2074 0.474462 27.1847
443 6765 38565 46.4044 11.1847 0.473033 27.1028
444 6804 38586 46.5379 11.13 0.469499 26.9003
445 6816 38578 46.579 11.1092 0.468257 26.8291
446 6798 38565 46.5174 11.1334 0.469838 26.9198
447 6804 38559 46.5379 11.1224 0.469193 26.8828
448 6801 38522 46.5277 11.1168 0.469063 26.8753
449 6795 38539 46.5072 11.1308 0.469833 26.9195
450 6795 38537 46.5072 11.1303 0.46981 26.9182
451 6795 38536 46.5072 11.13 0.469799 26.9175
452 6777 38518 46.4455 11.1529 0.471334 27.0054
453 6759 38516 46.3838 11.1804 0.473059 27.1043
454 6771 38527 46.425 11.1648 0.472018 27.0446
455 6780 38505 46.4558 11.1446 0.470895 26.9803
456 6783 38508 46.4661 11.1408 0.470639 26.9657
457 6798 38478 46.5174 11.1092 0.468854 26.8633
458 6795 38452 46.5072 11.1066 0.468848 26.863
459 6807 38461 46.5482 11.0906 0.467798 26.8028
460 6798 38430 46.5174 11.0958 0.46831 26.8322
461 6804 38438 46.5379 11.0888 0.467825 26.8044
462 6819 38451 46.5892 11.0693 0.466537 26.7306
463 6798 38447 46.5174 11.1006 0.468503 26.8432
464 6792 38452 46.4969 11.1112 0.469136 26.8795
465 6774 38443 46.4352 11.1366 0.470772 26.9732
466 6753 38472 46.3632 11.1775 0.473142 27.109
467 6759 38463 46.3838 11.1656 0.472455 27.0697
468 6774 38443 46.4352 11.1366 0.470772 26.9732
469 6774 38437 46.4352 11.135 0.470703 26.9693
470 6804 38443 46.5379 11.0902 0.467882 26.8076
471 6813 38429 46.5687 11.0724 0.466862 26.7492
472 6801 38421 46.5277 11.0887 0.46792 26.8099
473 6789 38415 46.4866 11.1056 0.469006 26.872
474 6816 38416 46.579 11.0642 0.466429 26.7244
475 6798 38418 46.5174 11.0925 0.468174 26.8244
476 6798 38439 46.5174 11.0983 0.468412 26.838
477 6801 38434 46.5277 11.0923 0.468068 26.8183
478 6813 38442 46.5687 11.076 0.467009 26.7576
479 6801 38497 46.5277 11.1098 0.46878 26.8591
480 6807 38502 46.5482 11.102 0.468261 26.8294
481 6792 38482 46.4969 11.1196 0.469476 26.899
482 6798 38504 46.5174 11.1164 0.469148 26.8802
483 6807 38496 46.5482 11.1003 0.468193 26.8255
484 6801 38524 46.5277 11.1173 0.469086 26.8766
485 6810 38542 46.5585 11.1085 0.468425 26.8388
486 6780 38519 46.4558 11.1485 0.471054 26.9894
487 6753 38511 46.3632 11.1884 0.473587 27.1345
488 6753 38515 46.3632 11.1895 0.473633 27.1372
489 6774 38510 46.4352 11.1553 0.471533 27.0169
490 6759 38525 46.3838 11.1829 0.473162 27.1102
