MCS Area Volume r h theta_rad theta_deg
366 6132 33331 44.18 10.6641 0.473694 27.1407
367 6153 33313 44.2556 10.6241 0.471208 26.9983
368 6156 33324 44.2664 10.6226 0.471033 26.9882
369 6168 33357 44.3095 10.6132 0.470189 26.9398
370 6156 33332 44.2664 10.6251 0.471138 26.9942
371 6180 33308 44.3526 10.5787 0.468277 26.8303
372 6165 33300 44.2988 10.6006 0.469761 26.9153
373 6207 33316 44.4494 10.5376 0.465543 26.6737
374 6195 33324 44.4064 10.5593 0.466906 26.7517
375 6177 33343 44.3419 10.5943 0.469052 26.8747
376 6168 33359 44.3095 10.6138 0.470215 26.9413
377 6141 33366 44.2125 10.6601 0.473188 27.1117
378 6123 33346 44.1476 10.6835 0.474861 27.2075
379 6141 33332 44.2125 10.6496 0.472741 27.0861
380 6135 33309 44.1908 10.6524 0.473082 27.1056
381 6153 33320 44.2556 10.6263 0.4713 27.0035
382 6159 33326 44.2772 10.6183 0.47074 26.9714
383 6138 33337 44.2017 10.6561 0.473129 27.1083
384 6165 33356 44.2988 10.6178 0.470495 26.9574
385 6186 33393 44.3741 10.595 0.468753 26.8576
386 6192 33400 44.3957 10.5874 0.468211 26.8265
387 6168 33391 44.3095 10.6236 0.470634 26.9653
388 6171 33430 44.3203 10.6307 0.470825 26.9763
389 6171 33397 44.3203 10.6206 0.470394 26.9516
390 6177 33387 44.3419 10.6077 0.469627 26.9076
391 6174 33391 44.3311 10.6138 0.469997 26.9288
392 6171 33390 44.3203 10.6184 0.470302 26.9463
393 6150 33371 44.2448 10.6469 0.472291 27.0603
394 6144 33368 44.2233 10.6558 0.472893 27.0948
395 6159 33358 44.2772 10.6282 0.471159 26.9954
396 6147 33353 44.234 10.6462 0.472375 27.0651
397 6159 33359 44.2772 10.6285 0.471173 26.9962
398 6180 33343 44.3526 10.5894 0.468735 26.8565
399 6192 33320 44.3957 10.563 0.467169 26.7668
400 6216 33351 44.4816 10.5338 0.465057 26.6458
401 6228 33359 44.5245 10.517 0.46391 26.5801
402 6216 33354 44.4816 10.5347 0.465096 26.648
403 6237 33383 44.5567 10.5099 0.463286 26.5443
404 6210 33422 44.4601 10.5651 0.466606 26.7345
405 6204 33398 44.4387 10.5674 0.466923 26.7527
406 6195 33384 44.4064 10.5777 0.467687 26.7965
407 6198 33374 44.4172 10.5698 0.467241 26.771
408 6231 33390 44.5353 10.5216 0.464 26.5852
409 6231 33392 44.5353 10.5222 0.464025 26.5867
410 6258 33383 44.6316 10.4765 0.461117 26.42
411 6252 33394 44.6102 10.4894 0.461876 26.4636
412 6225 33384 44.5138 10.5294 0.464546 26.6165
413 6249 33383 44.5995 10.4908 0.462044 26.4732
414 6270 33360 44.6744 10.4505 0.459589 26.3325
415 6270 33376 44.6744 10.4554 0.459794 26.3443
416 6261 33375 44.6423 10.4693 0.460705 26.3965
417 6285 33358 44.7278 10.4263 0.45803 26.2432
418 6294 33323 44.7598 10.4016 0.456667 26.1651
419 6297 33332 44.7705 10.3996 0.456478 26.1543
420 6273 33320 44.6851 10.4337 0.458768 26.2855
421 6270 33326 44.6744 10.4402 0.459152 26.3075
422 6270 33343 44.6744 10.4454 0.45937 26.32
423 6267 33339 44.6637 10.4489 0.459626 26.3347
424 6255 33352 44.6209 10.4719 0.461026 26.4149
425 6228 33400 44.5245 10.5295 0.464441 26.6105
426 6228 33358 44.5245 10.5167 0.463898 26.5794
427 6210 33299 44.4601 10.5276 0.465009 26.643
428 6222 33307 44.5031 10.5108 0.463861 26.5773
429 6231 33302 44.5353 10.4949 0.462861 26.52
430 6243 33280 44.5781 10.4691 0.461335 26.4326
431 6234 33310 44.546 10.4925 0.462654 26.5081
432 6234 33342 44.546 10.5022 0.463068 26.5318
433 6282 33352 44.7171 10.4292 0.458259 26.2563
434 6264 33369 44.653 10.4627 0.46032 26.3744
435 6258 33339 44.6316 10.4632 0.46055 26.3876
436 6228 33324 44.5245 10.5063 0.463458 26.5542
437 6219 33306 44.4923 10.5153 0.464161 26.5944
438 6243 33321 44.5781 10.4815 0.461865 26.4629
439 6216 33284 44.4816 10.5134 0.464188 26.596
440 6231 33260 44.5353 10.4821 0.462318 26.4889
441 6228 33284 44.5245 10.4942 0.46294 26.5245
442 6231 33263 44.5353 10.483 0.462357 26.4911
443 6228 33284 44.5245 10.4942 0.46294 26.5245
444 6240 33287 44.5674 10.476 0.461736 26.4555
445 6222 33286 44.5031 10.5044 0.463589 26.5617
446 6219 33299 44.4923 10.5131 0.46407 26.5892
447 6237 33280 44.5567 10.4786 0.461955 26.4681
448 6225 33264 44.5138 10.4929 0.462992 26.5275
449 6237 33218 44.5567 10.4598 0.461154 26.4222
450 6225 33245 44.5138 10.4871 0.462746 26.5134
