MCS Area Volume r h theta_rad theta_deg
233 3459 15415 33.1818 8.71274 0.513558 29.4247
234 3459 15403 33.1818 8.70625 0.513192 29.4038
235 3459 15430 33.1818 8.72086 0.514016 29.4509
236 3438 15418 33.081 8.76412 0.51796 29.6769
237 3438 15436 33.081 8.77391 0.518513 29.7086
238 3453 15422 33.153 8.7307 0.514998 29.5072
239 3480 15426 33.2824 8.66944 0.509638 29.2001
240 3465 15437 33.2106 8.71051 0.513007 29.3931
241 3453 15428 33.153 8.73395 0.515181 29.5177
242 3447 15440 33.1242 8.75467 0.516779 29.6093
243 3456 15408 33.1674 8.71603 0.513957 29.4476
244 3468 15406 33.225 8.68673 0.511455 29.3042
245 3480 15382 33.2824 8.64576 0.508305 29.1237
246 3504 15349 33.397 8.57257 0.502525 28.7925
247 3498 15360 33.3684 8.59226 0.504044 28.8796
248 3513 15361 33.4398 8.55837 0.50111 28.7115
249 3528 15372 33.5112 8.53006 0.498501 28.562
250 3537 15377 33.5539 8.51232 0.4969 28.4702
251 3513 15353 33.4398 8.55409 0.50087 28.6978
252 3528 15369 33.5112 8.52846 0.498412 28.5569
253 3540 15390 33.5681 8.51245 0.496704 28.4591
254 3552 15383 33.6249 8.48171 0.49418 28.3144
255 3549 15353 33.6107 8.47256 0.493868 28.2966
256 3552 15323 33.6249 8.44994 0.492403 28.2126
257 3555 15315 33.6391 8.439 0.491592 28.1661
258 3543 15302 33.5823 8.45898 0.493509 28.276
259 3564 15311 33.6817 8.41683 0.489757 28.061
260 3549 15300 33.6107 8.44447 0.492297 28.2065
261 3546 15290 33.5965 8.44588 0.492576 28.2225
262 3549 15294 33.6107 8.44129 0.492119 28.1963
263 3549 15283 33.6107 8.43545 0.491792 28.1776
264 3546 15278 33.5965 8.43952 0.492219 28.2021
265 3552 15271 33.6249 8.42239 0.490862 28.1243
266 3561 15285 33.6675 8.40976 0.489559 28.0497
267 3567 15284 33.6959 8.39591 0.48839 27.9827
268 3579 15299 33.7525 8.3773 0.486564 27.878
269 3579 15288 33.7525 8.37151 0.48624 27.8595
270 3585 15311 33.7808 8.37039 0.485787 27.8335
271 3585 15307 33.7808 8.36829 0.48567 27.8268
272 3570 15318 33.71 8.40721 0.488823 28.0075
273 3588 15354 33.7949 8.38638 0.486483 27.8734
274 3618 15350 33.9359 8.31873 0.480781 27.5467
275 3612 15354 33.9077 8.33385 0.482006 27.6169
276 3594 15350 33.8232 8.37109 0.485241 27.8023
277 3576 15344 33.7383 8.40762 0.488452 27.9863
278 3570 15340 33.71 8.41881 0.489471 28.0446
279 3564 15327 33.6817 8.42528 0.490229 28.088
280 3570 15339 33.71 8.41828 0.489442 28.043
281 3570 15338 33.71 8.41775 0.489413 28.0413
282 3579 15313 33.7525 8.38466 0.486975 27.9016
283 3588 15335 33.7949 8.3764 0.485927 27.8416
284 3585 15325 33.7808 8.37775 0.486197 27.8571
285 3588 15352 33.7949 8.38533 0.486425 27.8701
286 3600 15364 33.8514 8.36527 0.484528 27.7614
287 3597 15379 33.8373 8.37971 0.485526 27.8186
288 3591 15401 33.809 8.40444 0.487294 27.9199
289 3591 15429 33.809 8.41912 0.488112 27.9668
290 3600 15426 33.8514 8.39773 0.486335 27.8649
291 3603 15419 33.8655 8.38748 0.48557 27.8211
292 3606 15413 33.8796 8.37777 0.484836 27.779
293 3615 15415 33.9218 8.35915 0.48322 27.6865
294 3630 15418 33.9921 8.32813 0.480538 27.5328
295 3639 15395 34.0342 8.29676 0.478226 27.4004
296 3654 15397 34.1043 8.26564 0.475557 27.2474
297 3654 15425 34.1043 8.28011 0.476358 27.2933
298 3660 15415 34.1323 8.26213 0.474987 27.2148
299 3666 15423 34.1603 8.25347 0.474134 27.1659
300 3678 15425 34.2161 8.22905 0.472039 27.0459
301 3678 15429 34.2161 8.23111 0.472153 27.0524
302 3687 15421 34.258 8.20801 0.470322 26.9475
303 3669 15427 34.1742 8.24916 0.473709 27.1415
304 3669 15432 34.1742 8.25173 0.473851 27.1497
