MCS Volumen AContact r h theta
114 45839.0 6312.0 44.82378834494121 14.062980774804302 34.8373748110437
115 45832.0 6330.0 44.887655090719484 14.024542109897277 34.70142057487465
116 45815.0 6351.0 44.962051634164276 13.977387948771801 34.53788520986718
117 45822.0 6357.0 44.983285189838654 13.96736483925302 34.4992646847639
118 45810.0 6378.0 45.057523834318914 13.921962143007008 34.340411237670544
119 45805.0 6378.0 45.057523834318914 13.920530881650825 34.337088410806075
120 45821.0 6399.0 45.13164036117097 13.883373405449595 34.19783797530389
121 45805.0 6423.0 45.21619620178689 13.831396912519866 34.01719268050537
122 45813.0 6441.0 45.27950945968602 13.798307969197843 33.89575860007588
123 45816.0 6447.0 45.300594214942684 13.787407544689588 33.85565161902758
124 45820.0 6459.0 45.34273431169655 13.76509091603797 33.774351150204694
125 45828.0 6477.0 45.40587112711761 13.732312426232 33.65427960400823
126 45851.0 6486.0 45.43740663581127 13.721350109426838 33.60690654716218
127 45837.0 6510.0 45.52139452012072 13.671019583123734 33.43220645016164
128 45809.0 6519.0 45.5528500538894 13.645820798711497 33.35224658518248
129 45822.0 6555.0 45.67845557738076 13.580634242789422 33.11541704087354
130 45814.0 6570.0 45.73068939156182 13.549897492899898 33.008869267702195
131 45793.0 6582.0 45.772433525668156 13.521312582663487 32.914593411735645
132 45791.0 6606.0 45.85580779061821 13.475548838249049 32.752736027727224
133 45817.0 6645.0 45.99096861005744 13.40989438593895 32.510906942834275
134 45843.0 6675.0 46.094668783676084 13.36149681624362 32.33065696053427
135 45846.0 6696.0 46.167120311826494 13.323649699400752 32.19586461684495
136 45839.0 6696.0 46.167120311826494 13.321719626923871 32.191442252839146
137 45829.0 6708.0 46.208470181568096 13.296960771843738 32.107429976627174
138 45822.0 6729.0 46.28074355637264 13.25669646451122 31.967753676028625
139 45825.0 6738.0 46.31168333267947 13.241152058668558 31.91193401652665
140 45797.0 6750.0 46.35290424278275 13.211712877995863 31.817699338398516
141 45812.0 6756.0 46.37350095752627 13.204967297891628 31.7888644032981
142 45801.0 6768.0 46.414666967370295 13.180296754283034 31.705737528000913
143 45811.0 6795.0 46.50715726228445 13.13453109479402 31.541435716035853
144 45821.0 6816.0 46.57896718722644 13.099755899238637 31.415956499692907
145 45827.0 6846.0 46.68136117139507 13.048151766476483 31.232975248878034
146 45830.0 6879.0 46.79373576728295 12.99086409242325 31.031407264567953
147 45833.0 6900.0 46.865106579076034 12.954948323477947 30.904852712744393
148 45837.0 6912.0 46.90584114268031 12.935124382351859 30.834292439769364
149 45827.0 6954.0 47.048134378762356 12.85978583901852 30.574783730663828
150 45812.0 6963.0 47.07856983275654 12.840306700587721 30.511815905299706
151 45814.0 6957.0 47.058281717256015 12.851147834231728 30.548925523181634
152 45846.0 6987.0 47.15963501519224 12.80830007016406 30.389388922927676
153 45848.0 6987.0 47.15963501519224 12.808833232335134 30.39059543480124
154 45839.0 7011.0 47.240561089328274 12.765587336864963 30.24319529172922
155 45833.0 7023.0 47.28097218404844 12.74366201361706 30.16899451357677
156 45843.0 7059.0 47.40199876135371 12.685676178371045 29.96469595305412
157 45830.0 7089.0 47.502618697887506 12.632126778497275 29.783457388067326
158 45826.0 7083.0 47.48251176843733 12.641064918689036 29.815652847420754
159 45819.0 7101.0 47.54280704576769 12.609290785579374 29.70798061382587
160 45834.0 7119.0 47.60302595153385 12.583433486988032 29.61388640648723
161 45820.0 7125.0 47.62308199874835 12.569854138176852 29.571417724171962
162 45829.0 7143.0 47.68319952573251 12.54258925137109 29.474491555183175
163 45810.0 7158.0 47.73323962715681 12.51303271728199 29.37855276002597
164 45809.0 7173.0 47.78322732503876 12.488280977690966 29.293589810946152
165 45822.0 7182.0 47.813194858448696 12.477019243779715 29.25075024943169
166 45828.0 7188.0 47.833162783670154 12.468830606933533 29.22069461142841
167 45854.0 7188.0 47.833162783670154 12.47560435592911 29.235889112860924
168 45858.0 7197.0 47.8630990520332 12.462035763781415 29.18796512904897
169 45837.0 7209.0 47.902984974831654 12.437146685288429 29.10892684460517
170 45840.0 7227.0 47.96275166679092 12.40889552225817 29.010938185939487
171 45832.0 7239.0 48.00255478705754 12.387539835419405 28.940104226597665
172 45823.0 7248.0 48.03238548167387 12.370787258601466 28.88540723348945
173 45820.0 7263.0 48.08206217866359 12.346046675576403 28.80150112832291
174 45819.0 7296.0 48.19117066016281 12.2933734229812 28.621429361111456
175 45831.0 7290.0 48.17135113612482 12.305962848920567 28.66083652033195
176 45828.0 7317.0 48.26047489620048 12.2625463813931 28.513265144358353
177 45819.0 7347.0 48.35930865709631 12.213185809301883 28.347435701747095
178 45829.0 7356.0 48.3889194213713 12.201693379033097 28.30520028211616
179 45824.0 7386.0 48.4874913699758 12.153800355357244 28.143492392580242
180 45824.0 7413.0 48.57603510251161 12.112132673666796 28.001703141527972
181 45832.0 7428.0 48.62515639638805 12.091128590049609 27.927915040681132
182 45820.0 7437.0 48.6546053683395 12.07430664423707 27.874354411156137
183 45808.0 7437.0 48.6546053683395 12.07126670474225 27.86760998361805
184 45806.0 7440.0 48.66441773213158 12.066174794111323 27.85091445482662
185 45824.0 7473.0 48.772223441744664 12.02049448689205 27.69058240168826
186 45822.0 7467.0 48.752640135015916 12.029094502601627 27.72033198626982
187 45802.0 7476.0 48.78201214699963 12.010397894315334 27.662878833153574
188 45786.0 7503.0 48.87002226352042 11.965607979065458 27.515905418665874
189 45790.0 7524.0 48.938365150941046 11.93509395309734 27.411507115384257
190 45800.0 7530.0 48.95787416712396 11.928624247538627 27.386701677689086
191 45819.0 7554.0 49.03583261485783 11.89758783811853 27.276310455870238
192 45813.0 7566.0 49.07476539797781 11.878265557939201 27.212860933108438
193 45812.0 7584.0 49.13310672874115 11.851377702105996 27.12249288580084
194 45798.0 7584.0 49.13310672874115 11.847888659003708 27.11480279682938
195 45787.0 7590.0 49.15253845057213 11.836297025148257 27.078937255836305
